Sr No,District,Name,Address,Contact #
879,Sahiwal,"Punjab Diagnostic Lab, Noor Shah Road, Sahiwal","Opp Gate No 1 DHQ Hospital, Noor Shah Road, Sahiwal",0300-9699693
880,Sahiwal,"Rahbar Clinical Lab, Arif Road, Sahiwal","Rahbar Lab, Near U.S Wheel Alighament Arif Road, Sahiwal",
881,Sahiwal,"Rifah Laboratories, Tehsil Chowk Halli Road Sahiwal","Tehsil Chowk, Halli Road, Sahiwal",0300-4006515
882,Sahiwal,Sahiwal Laboratory,"Opposite Civil Hospital Gate No.03, Sahiwal",03006903880
883,Sahiwal,"Shafqat Lab, Beri Wala Chowk Sahiwal","138 B-VIII, Beri Wala Chowk Sahiwal",0313-4429724
884,Sahiwal,"Shakir Clinical Lab, Kameer Sahiwal",Jellani Market kameer Sahiwal,0300-7894725
885,Sahiwal,Taj LAB,"145/b-2 Karbla Road, Sahiwal",0300-6904056
886,Sahiwal,The Doctor's Lab,"Opposite DHQ Hospital Gate No.02, Sahiwal",
887,Sahiwal,Unique Lahore Lab,"175 Hali Road, Tehsil Chowk, Sahiwal",03365921588
888,Sargodha,Advance Diagnostic Centre,"Plot No.149/A-Block, Opposite Kazmi Hospital Main Fatima Jinnah Road, Satellite Town, Sargodha",03313030730
889,Sargodha,Ajmal Lab,"City Hospital, 92/C, Satellite Town, Sargodha",0333-4982838
890,Sargodha,"Ali Clinical Laboratory, Near Thana Chowk, Sargodha","Civil Hospital Road Near Thana Chowk Bhalwal, Sargodha",03216043164
