No.,,,,,
,District,HCE Name,Address,Sector,
258,Sialkot,Sialkot Children Complex,"Khadim Ali Road, Sialkot",Private,
259,Sialkot,National Hospital,"Commissioner Road, Sialkot",Private,
260,Sialkot,LRBT Hospital Pasrur,"LRBT Free Secondary Eye Hospital, Haibat Pur Road, Near PSO Petrol Pump, Tehsil Pasrur, Distt Sialkot.",Private,
261,Sialkot,Heart Care Welfare Society,"Commissioner Road, Sialkot",Private,
262,Sialkot,Family Hospital,"Sambrial Road Daska, Sialkot",Private,
263,Sialkot,Amin Welfare & Teaching Hospital,"Near Umer Girls High School Umer Town Defence Road, Sialkot",Private,
264,Toba Tek Singh,Sarwar Foundation Hospital,Rajana District Toba Tek Singh,Private,
265,Toba Tek Singh,Govt. Eye Cum General Hospital,"Gojra, Toba Tek Singh",Public,
266,Vehari,"Tehsil Headquarter Hospital, Burewala","Burewala, District Vehari",Public,
267,Vehari,"District Headquarter Hospital, Vehari",District Vehari,Public,
