,,,,
Sr. No.,District,HCE Name,Address,Contact#
191,Gujranwala,RAHAT CLINICAL LABORATORY,Asad Center near Munir Chowk GUJRANWALA,3311163534
192,Gujranwala,Real Lab Lahore,"Civil Hospital Road, Munir Chowk, Gujranwala",3225543911
193,Gujranwala,"Royal Diagnostic Centre, Sui Gas Road, Gujranwala","House 202, Suigas Road, Gujranwala",3006354802
194,Gujranwala,Saad Clinical Lab,"Opposite Trauma Centre DHQ, Munir Chowk, Gujranwala",3034556671
195,Gujranwala,SKMCH&RC DIAGNOSTIC LABORATORY-Gujranwala,"Bukhari Plaza, Civil Line Road, Opposite Jamia Qudsia Mosque",3006426725
196,Gujranwala,Sky Lab & Diagnostic Services Center,"Opposite DHQ Hospital, Hospital Road, Gujranwala",0323-1611394
197,Gujranwala,The Lahore Lab & Diagnostic Centre,"Munir Chowk, Ketchery Road, Gujranwala",3338185636
198,Gujrat,Abbasi Lab,"Karim Center, Shop No 20 FF, Sarai Alamgir, Gujrat",0302-5807801
199,Gujrat,AL REHMAN LAB,Railway Phatak Opp Dr.Abul Majid Clinic Sarai Alamgir Distt Gujrat,3335881507
200,Gujrat,Awami Lab,"1st Floor Hilal-e-Ahmer Complex Gulzar-e-Madina Road, Gujrat",3338430929
201,Gujrat,"Bukhari Diagnostic Centre, Rehman Shaheed Road, Gujrat","Bukhari Diagnostic Centre, Rehman Shaheed Road, Gujrat",0300-8720397
202,Gujrat,Care First Laboratory & Diagnostic Center,"Panjeri Complex Opp Sindh Bank,Fawara Chowk,Sarai Alamgir,Gujrat",0333-5846989
203,Gujrat,Chughtai Pathology Lab Gujrat,Bhimber Road Adjoint Poly clinic Hospital Gujrat,3004354411
204,Gujrat,"Citi Lab & Research Centre, Bimber Road Gujrat",Opposite Al Shafi Hospital Bimber Road Gujrat,0300-4265177
205,Gujrat,"City Laboratory, Lalamusa, Gujrat","Main Bazar Lalamusa, Gujrat",0345-5222649
206,Gujrat,CREST Diagnostic PVT LTD,Basement Najam Hospital Opposite Session Court G-T Road Kharian Gujrat,0300-6003119
207,Gujrat,Dr. AR Lab,"Court Road Near Dubai Islamic Bank, Katchery Chowk, Gujrat",0333-6209693
208,Gujrat,Ehsan Clinical Laboratory,"Khatana Market, Sadwal Road, Kotla Arab Ali Khan, Gujrat",ÿ
209,Gujrat,Etihad Laboratories,"12-Bhimber Road Opposite Chenab Hospital, Gujrat",3338430929
210,Gujrat,Friends Lab,"Main G.T Road, Kharian, Gujrat",ÿ
211,Gujrat,"Health Diagnostic Laboratory , G.T Road lalamusa , Gujrat","Opposite Shabbir Shaheed Hospital, Gujrat",0337-7512299
212,Gujrat,"Ibraheem Lab, Kharian Gujrat","Sadwal Road Kotla Arab Ali Khan, Kharian, Gujrat",0300-5627461
213,Gujrat,Islamabad Diagnostic Centre (Pvt) Ltd,"Sarwar Plaza, Marghzar Colony, Purani Chungi Bhimber, Near Aziz Bhatti Shaheed Teaching Hospital, Jail Road, Gujrat",0346-8297977
214,Gujrat,Makhdoom Diagnostic Centre,KHARIAN ROAD DINGA,3335881507
215,Gujrat,New Shaheen Diagnostic Centre,"Railway Road, Lala Musa, Kharian, Gujrat",3164447305
216,Gujrat,New Zam Zam Medical Lab,Shabir Market Road Gulyana Khariyan Gujrat,0345-8884007
217,Gujrat,Shadab lab Clinical Laboratory,"Al Karam Plaza, Kotla Arab Ali Khan, Kharian, Gujrat",ÿ
218,Jhang,"Al Khidmat Diagnostic Center, Gojra Road, Jhang","Gojra Road, Jhang",0300-7508103
219,Jhang,"Al Khidmat Diagnostic Centre, Shor Kot, Jhang","Shahid Shaheed Road Shor Kot, Jhang",ÿ
220,Jhang,Al Rehman Lab,"Transfer Chowk Satellite Town, Jhang",0346-7200356
221,Jhang,"Askari Lab, Gojra Road, Jhang",Askari Lab Gojra Road Jhang,0301-6994787
